,feature,importance,group_feature,importance_normalized
1,application_AMT_DURATION,329,application,0.024809592036799638
0,application_EXT_SOURCE_ALL,248,application,0.0187014553955207
5,application_DAYS_BIRTH,224,application,0.016891637131438052
6,application_EXT_SOURCE_2,209,application,0.015760500716386395
2,application_DAYS_EMPLOYED,204,application,0.01538345524470251
4,application_EXT_SOURCE_1,185,application,0.013950682452303747
8,application_AMT_ANNUITY,168,application,0.012668727848578538
3,application_GOODS_CREDIT_RATIO,164,application,0.01236709147123143
7,application_EXT_SOURCE_3,163,application,0.012291682376894654
14,application_DAYS_LAST_PHONE_CHANGE,155,application,0.011688409622200437
20,bureau_DAYS_CREDIT_ENDDATE_max,141,bureau,0.01063268230148556
18,application_AMT_CREDIT,130,application,0.009803182263781011
10,application_DAYS_ID_PUBLISH,119,application,0.008973682226076465
9,installments_payments_AMT_PAYMENT_min_mean,119,installments,0.008973682226076465
16,bureau_DAYS_CREDIT_max,116,bureau,0.008747454943066134
33,application_ANNUITY_INCOME_RATIO,109,application,0.008219591282708695
30,installments_payments_AMT_PAYMENT_sum_sum,103,installments,0.007767136716688033
13,bureau_AMT_CREDIT_SUM_DEBT_mean,102,bureau,0.007691727622351255
12,cash_balance_CNT_INSTALMENT_FUTURE_mean_max,101,cash,0.007616318528014479
24,application_CREDIT_INCOME_RATIO,97,application,0.00731468215066737
11,application_OWN_CAR_AGE,97,application,0.00731468215066737
17,bureau_AMT_CREDIT_MAX_OVERDUE_sum,94,bureau,0.007088454867657039
27,previous_CNT_PAYMENT_mean,94,previous,0.007088454867657039
22,previous_NAME_CONTRACT_STATUS_Refused_mean,91,previous,0.006862227584646708
26,bureau_DAYS_CREDIT_mean,91,bureau,0.006862227584646708
15,bureau_DAYS_ENDDATE_FACT_max,90,bureau,0.0067868184903099316
23,cash_balance_CNT_INSTALMENT_FUTURE_mean_mean,89,cash,0.006711409395973154
49,bureau_AMT_CREDIT_SUM_max,88,bureau,0.006636000301636378
34,application_DAYS_REGISTRATION,87,application,0.0065605912072996
25,cash_balance_CNT_INSTALMENT_FUTURE_min_max,87,cash,0.0065605912072996
29,card_balance_CNT_DRAWINGS_CURRENT_mean_mean,86,card,0.006485182112962823
42,installments_payments_DAYS_INSTALMENT_DELAY_min_mean,82,installments,0.006183545735615715
46,bureau_AMT_CREDIT_SUM_DEBT_max,80,bureau,0.006032727546942162
36,previous_HOUR_APPR_PROCESS_START_mean,78,previous,0.005881909358268607
78,previous_SELLERPLACE_AREA_max,74,previous,0.005580272980921499
41,installments_payments_AMT_PAYMENT_mean_min,73,installments,0.005504863886584722
40,previous_DAYS_DECISION_max,73,previous,0.005504863886584722
31,installments_payments_AMT_INSTALMENT_max_mean,72,installments,0.005429454792247945
43,bureau_AMT_CREDIT_SUM_mean,72,bureau,0.005429454792247945
101,application_APARTMENTS_AVG,71,application,0.005354045697911168
21,installments_payments_DAYS_INSTALMENT_DELAY_sum_min,70,installments,0.005278636603574391
32,bureau_AMT_CREDIT_SUM_sum,70,bureau,0.005278636603574391
35,previous_AMT_DOWN_PAYMENT_max,69,previous,0.005203227509237614
61,bureau_DAYS_CREDIT_ENDDATE_sum,67,bureau,0.00505240932056406
37,application_REGION_POPULATION_RELATIVE,66,application,0.004977000226227283
60,previous_AMT_DOWN_PAYMENT_mean,66,previous,0.004977000226227283
89,card_balance_AMT_DRAWINGS_CURRENT_mean_min,65,card,0.004901591131890506
53,bureau_DAYS_CREDIT_UPDATE_max,65,bureau,0.004901591131890506
99,bureau_DAYS_ENDDATE_FACT_min,65,bureau,0.004901591131890506
19,application_CODE_GENDER_F,65,application,0.004901591131890506
51,installments_payments_AMT_PAYMENT_min_max,63,installments,0.004750772943216952
69,cash_balance_CNT_INSTALMENT_count_mean,63,cash,0.004750772943216952
98,bureau_DAYS_CREDIT_ENDDATE_mean,62,bureau,0.004675363848880175
