,feature,importance,group_feature,importance_normalized
1,application_AMT_DURATION,200,application,0.030134096730450505
4,application_EXT_SOURCE_1,138,application,0.020792526744010848
2,application_DAYS_EMPLOYED,136,application,0.020491185776706344
7,application_EXT_SOURCE_3,135,application,0.02034051529305409
6,application_EXT_SOURCE_2,131,application,0.01973783335844508
0,application_EXT_SOURCE_ALL,122,application,0.01838179900557481
5,application_DAYS_BIRTH,115,application,0.01732710562000904
3,application_GOODS_CREDIT_RATIO,110,application,0.01657375320174778
8,application_AMT_ANNUITY,110,application,0.01657375320174778
14,application_DAYS_LAST_PHONE_CHANGE,76,application,0.011450956757571192
9,installments_payments_AMT_PAYMENT_min_mean,73,installments,0.010998945306614435
20,bureau_DAYS_CREDIT_ENDDATE_max,63,bureau,0.009492240470091909
15,bureau_DAYS_ENDDATE_FACT_max,61,bureau,0.009190899502787404
33,application_ANNUITY_INCOME_RATIO,60,application,0.009040229019135152
16,bureau_DAYS_CREDIT_max,60,bureau,0.009040229019135152
12,cash_balance_CNT_INSTALMENT_FUTURE_mean_max,60,cash,0.009040229019135152
23,cash_balance_CNT_INSTALMENT_FUTURE_mean_mean,60,cash,0.009040229019135152
22,previous_NAME_CONTRACT_STATUS_Refused_mean,58,previous,0.008738888051830646
17,bureau_AMT_CREDIT_MAX_OVERDUE_sum,58,bureau,0.008738888051830646
10,application_DAYS_ID_PUBLISH,58,application,0.008738888051830646
29,card_balance_CNT_DRAWINGS_CURRENT_mean_mean,54,card,0.008136206117221637
19,application_CODE_GENDER_F,54,application,0.008136206117221637
25,cash_balance_CNT_INSTALMENT_FUTURE_min_max,54,cash,0.008136206117221637
27,previous_CNT_PAYMENT_mean,54,previous,0.008136206117221637
34,application_DAYS_REGISTRATION,53,application,0.007985535633569383
11,application_OWN_CAR_AGE,51,application,0.007684194666264878
49,bureau_AMT_CREDIT_SUM_max,51,bureau,0.007684194666264878
21,installments_payments_DAYS_INSTALMENT_DELAY_sum_min,50,installments,0.007533524182612626
26,bureau_DAYS_CREDIT_mean,49,bureau,0.007382853698960374
13,bureau_AMT_CREDIT_SUM_DEBT_mean,48,bureau,0.007232183215308121
30,installments_payments_AMT_PAYMENT_sum_sum,45,installments,0.006780171764351363
24,application_CREDIT_INCOME_RATIO,44,application,0.006629501280699111
35,previous_AMT_DOWN_PAYMENT_max,43,previous,0.006478830797046859
18,application_AMT_CREDIT,43,application,0.006478830797046859
28,cash_balance_SK_DPD_DEF_mean_mean,41,cash,0.006177489829742353
44,previous_DAYS_LAST_DUE_1ST_VERSION_sum,40,previous,0.006026819346090101
31,installments_payments_AMT_INSTALMENT_max_mean,40,installments,0.006026819346090101
36,previous_HOUR_APPR_PROCESS_START_mean,38,previous,0.005725478378785596
42,installments_payments_DAYS_INSTALMENT_DELAY_min_mean,37,installments,0.0055748078951333435
77,installments_payments_DELAY_mean_mean,35,installments,0.005273466927828838
86,bureau_CREDIT_ACTIVE_mean,35,bureau,0.005273466927828838
53,bureau_DAYS_CREDIT_UPDATE_max,35,bureau,0.005273466927828838
67,installments_payments_NUM_INSTALMENT_VERSION_sum_sum,35,installments,0.005273466927828838
45,previous_NAME_YIELD_GROUP_high_mean,34,previous,0.005122796444176586
32,bureau_AMT_CREDIT_SUM_sum,34,bureau,0.005122796444176586
48,installments_payments_AMT_PAYMENT_sum_mean,34,installments,0.005122796444176586
70,installments_payments_DAYS_INSTALMENT_DELAY_min_max,33,installments,0.004972125960524334
81,previous_AMT_ANNUITY_mean,33,previous,0.004972125960524334
51,installments_payments_AMT_PAYMENT_min_max,33,installments,0.004972125960524334
74,previous_NAME_CONTRACT_STATUS_Approved_mean,33,previous,0.004972125960524334
50,bureau_CREDIT_ACTIVE_sum,32,bureau,0.0048214554768720806
93,installments_payments_NUM_INSTALMENT_VERSION_mean_mean,32,installments,0.0048214554768720806
41,installments_payments_AMT_PAYMENT_mean_min,32,installments,0.0048214554768720806
73,application_NAME_FAMILY_STATUS_Married,32,application,0.0048214554768720806
95,application_FLAG_DOCUMENT_3,32,application,0.0048214554768720806
59,bureau_DAYS_CREDIT_UPDATE_mean,32,bureau,0.0048214554768720806
37,application_REGION_POPULATION_RELATIVE,31,application,0.004670784993219828
39,previous_AMT_ANNUITY_min,31,previous,0.004670784993219828
85,cash_balance_CNT_INSTALMENT_FUTURE_mean_min,31,cash,0.004670784993219828
64,application_NAME_EDUCATION_TYPE_Higher education,30,application,0.004520114509567576
71,previous_HOUR_APPR_PROCESS_START_max,30,previous,0.004520114509567576
118,application_REGION_RATING_CLIENT,30,application,0.004520114509567576
46,bureau_AMT_CREDIT_SUM_DEBT_max,30,bureau,0.004520114509567576
72,bureau_DAYS_ENDDATE_FACT_mean,29,bureau,0.004369444025915323
56,previous_SELLERPLACE_AREA_mean,29,previous,0.004369444025915323
66,installments_payments_NUM_INSTALMENT_VERSION_sum_mean,28,installments,0.004218773542263071
43,bureau_AMT_CREDIT_SUM_mean,28,bureau,0.004218773542263071
40,previous_DAYS_DECISION_max,28,previous,0.004218773542263071
54,installments_payments_DAYS_INSTALMENT_DELAY_sum_max,28,installments,0.004218773542263071
84,previous_DAYS_DECISION_mean,27,previous,0.0040681030586108185
138,bureau_DAYS_CREDIT_ENDDATE_min,27,bureau,0.0040681030586108185
91,application_YEARS_BEGINEXPLUATATION_AVG,27,application,0.0040681030586108185
150,cash_balance_MONTHS_BALANCE_min_sum,27,cash,0.0040681030586108185
98,bureau_DAYS_CREDIT_ENDDATE_mean,26,bureau,0.003917432574958565
61,bureau_DAYS_CREDIT_ENDDATE_sum,26,bureau,0.003917432574958565
89,card_balance_AMT_DRAWINGS_CURRENT_mean_min,26,card,0.003917432574958565
76,installments_payments_DAYS_INSTALMENT_DELAY_max_mean,25,installments,0.003766762091306313
47,installments_payments_DAYS_INSTALMENT_DELAY_sum_mean,25,installments,0.003766762091306313
144,installments_payments_AMT_INSTALMENT_max_min,25,installments,0.003766762091306313
154,installments_payments_AMT_INSTALMENT_DIFF_sum_mean,25,installments,0.003766762091306313
232,installments_payments_DAYS_INSTALMENT_sum_min,25,installments,0.003766762091306313
87,previous_NAME_YIELD_GROUP_low_normal_mean,25,previous,0.003766762091306313
52,previous_PRODUCT_COMBINATION_Cash X-Sell: low_mean,24,previous,0.0036160916076540604
152,previous_NAME_TYPE_SUITE_Unaccompanied_mean,24,previous,0.0036160916076540604
63,bureau_DAYS_CREDIT_UPDATE_min,24,bureau,0.0036160916076540604
55,installments_payments_DELAY_max_mean,24,installments,0.0036160916076540604
123,cash_balance_MONTHS_BALANCE_sum_max,24,cash,0.0036160916076540604
88,cash_balance_CNT_INSTALMENT_FUTURE_min_mean,24,cash,0.0036160916076540604
122,application_DEF_30_CNT_SOCIAL_CIRCLE,23,application,0.003465421124001808
58,installments_payments_DAYS_INSTALMENT_DELAY_max_max,23,installments,0.003465421124001808
57,installments_payments_AMT_INSTALMENT_max_max,23,installments,0.003465421124001808
101,application_APARTMENTS_AVG,23,application,0.003465421124001808
141,previous_RATE_DOWN_PAYMENT_sum,23,previous,0.003465421124001808
82,bureau_CREDIT_TYPE_Mortgage_mean,23,bureau,0.003465421124001808
113,previous_RATE_DOWN_PAYMENT_min,22,previous,0.0033147506403495555
104,previous_CNT_PAYMENT_sum,22,previous,0.0033147506403495555
121,card_balance_CNT_DRAWINGS_ATM_CURRENT_sum_min,22,card,0.0033147506403495555
78,previous_SELLERPLACE_AREA_max,22,previous,0.0033147506403495555
106,installments_payments_DAYS_INSTALMENT_DELAY_sum_sum,21,installments,0.003164080156697303
109,card_balance_AMT_INST_MIN_REGULARITY_mean_min,21,card,0.003164080156697303
99,bureau_DAYS_ENDDATE_FACT_min,21,bureau,0.003164080156697303
125,previous_NAME_YIELD_GROUP_low_action_mean,21,previous,0.003164080156697303
191,previous_DAYS_LAST_DUE_1ST_VERSION_mean,21,previous,0.003164080156697303
60,previous_AMT_DOWN_PAYMENT_mean,21,previous,0.003164080156697303
129,previous_RATE_DOWN_PAYMENT_mean,21,previous,0.003164080156697303
65,cash_balance_MONTHS_BALANCE_min_mean,21,cash,0.003164080156697303
112,bureau_DAYS_CREDIT_sum,21,bureau,0.003164080156697303
196,previous_NAME_SELLER_INDUSTRY_Connectivity_mean,20,previous,0.0030134096730450506
114,previous_NAME_PAYMENT_TYPE_XNA_mean,20,previous,0.0030134096730450506
149,previous_AMT_GOODS_PRICE_min,20,previous,0.0030134096730450506
139,installments_payments_DAYS_ENTRY_PAYMENT_sum_max,20,installments,0.0030134096730450506
69,cash_balance_CNT_INSTALMENT_count_mean,20,cash,0.0030134096730450506
105,bureau_CREDIT_TYPE_Microloan_mean,20,bureau,0.0030134096730450506
236,previous_CNT_PAYMENT_max,20,previous,0.0030134096730450506
83,installments_payments_AMT_PAYMENT_min_min,20,installments,0.0030134096730450506
38,bureau_AMT_CREDIT_SUM_min,20,bureau,0.0030134096730450506
92,application_BASEMENTAREA_AVG,20,application,0.0030134096730450506
227,installments_payments_NUM_INSTALMENT_NUMBER_mean_sum,19,installments,0.002862739189392798
115,installments_payments_NUM_INSTALMENT_VERSION_mean_max,19,installments,0.002862739189392798
75,installments_payments_AMT_PAYMENT_sum_max,19,installments,0.002862739189392798
103,application_NAME_EDUCATION_TYPE_Secondary / secondary special,19,application,0.002862739189392798
194,previous_DAYS_LAST_DUE_mean,19,previous,0.002862739189392798
68,previous_RATE_DOWN_PAYMENT_max,19,previous,0.002862739189392798
140,cash_balance_MONTHS_BALANCE_sum_sum,19,cash,0.002862739189392798
172,cash_balance_MONTHS_BALANCE_sum_min,18,cash,0.0027120687057405456
132,installments_payments_DAYS_ENTRY_PAYMENT_sum_mean,18,installments,0.0027120687057405456
159,installments_payments_DAYS_INSTALMENT_DELAY_mean_max,18,installments,0.0027120687057405456
96,installments_payments_AMT_PAYMENT_mean_max,18,installments,0.0027120687057405456
107,installments_payments_NUM_INSTALMENT_VERSION_sum_max,18,installments,0.0027120687057405456
170,previous_DAYS_LAST_DUE_sum,17,previous,0.002561398222088293
62,application_NONLIVINGAREA_AVG,17,application,0.002561398222088293
136,installments_payments_AMT_PAYMENT_sum_min,17,installments,0.002561398222088293
128,installments_payments_AMT_INSTALMENT_DIFF_mean_mean,17,installments,0.002561398222088293
143,installments_payments_AMT_INSTALMENT_DIFF_sum_sum,17,installments,0.002561398222088293
259,previous_NAME_CONTRACT_STATUS_Refused_sum,17,previous,0.002561398222088293
145,cash_balance_MONTHS_BALANCE_min_max,16,cash,0.0024107277384360403
79,installments_payments_AMT_PAYMENT_mean_mean,16,installments,0.0024107277384360403
130,installments_payments_DAYS_INSTALMENT_DELAY_min_min,16,installments,0.0024107277384360403
158,application_NAME_INCOME_TYPE_State servant,16,application,0.0024107277384360403
