client,default_proba
177009,43.93
146204,9.89
237081,36.9
111125,84.38
130166,54.74
102254,50.55
101659,22.79
296846,75.63
256458,57.22
142138,24.15
330520,25.81
414177,60.76
223027,40.31
315949,50.59
124776,46.39
195432,82.95
216066,11.91
165690,31.23
309026,19.19
301275,41.05
123112,34.97
143004,11.7
274404,39.62
117558,7.88
180883,64.44
336481,23.46
263928,73.42
309459,38.57
358563,42.3
406119,75.54
174292,33.35
324725,63.12
144437,29.71
374627,11.63
376438,41.89
408740,75.21
380180,88.57
234624,68.8
455298,67.04
142266,31.17
421693,14.99
104619,22.8
414425,34.35
306218,46.35
419031,40.81
421208,24.94
193101,48.5
302359,28.99
336328,25.05
306891,42.7
216268,31.66
372201,16.27
147291,53.09
175884,57.05
176410,26.08
252708,27.91
389492,35.01
410494,81.62
321247,38.91
279647,37.48
290822,29.53
220783,79.41
294399,29.97
234222,22.28
258047,16.25
100710,36.04
133477,12.8
271110,24.94
342392,43.37
119197,14.94
210654,21.01
231341,74.06
210472,29.04
422115,15.25
304679,17.29
380079,91.04
216852,55.46
341977,52.19
224562,45.5
361950,77.68
427299,22.77
157598,26.48
441859,23.3
390083,21.13
324056,22.81
431922,24.87
400042,69.14
388139,54.35
202044,47.72
247184,52.36
199315,35.95
425989,55.83
252307,49.58
207009,10.77
227063,20.37
400380,52.75
332542,18.87
427741,43.36
314533,33.76
372071,17.34
391646,42.1
148377,89.26
178864,37.05
269808,21.13
199189,57.75
390985,32.54
236388,15.66
344125,25.51
332567,25.58
111238,33.59
364642,38.26
454641,20.76
454590,26.38
202353,44.62
155230,16.03
256101,17.41
113802,52.72
181864,27.03
425482,23.34
247212,42.34
278729,24.96
407436,26.27
406737,15.36
431923,77.03
354078,75.2
184049,36.91
337095,77.46
233355,16.59
401997,22.1
439349,22.42
356405,74.13
246890,40.25
365293,35.83
103859,46.65
123280,28.32
451527,63.68
443975,36.96
339274,32.72
332167,26.39
173268,11.59
289027,26.88
237597,58.46
336689,34.46
288067,47.8
226961,20.77
190806,44.23
352638,20.82
167098,27.9
372803,23.13
387151,36.54
206728,18.49
434657,60.08
152830,49.26
246300,59.41
280445,45.11
260845,23.87
448260,65.26
114579,62.6
321560,33.58
325166,23.55
